site_name,folder,altitude,measurement_height,lat,lon,measurement,bc_type,start_UTCtime,end_UTCtime,source,time_zone,station_id
London_MY,AE31&AE22,35,3,51.52253,-0.154611,AE22,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/London,21
London_NK,AE31&AE22,27,3,51.52105,-0.213492,AE22,eBC,2019-01-01 00:00:00,2019-11-07 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/London,22
Valencia_Burjassot,AE31&AE22,40,15,39.51,-0.42,AE31,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Madrid,23
Athens_Demokritos,AE33,270,6,37.99,23.82,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Athens,24
Athens_NOA,AE33,105,4,37.97333,23.71806,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Athens,25
Barcelona_Palau Reial,AE33,80,4,41.38722,2.11556,AE33,eBC,2019-01-01 00:00:00,2019-04-30 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Madrid,26
Bern_Bollwerk,AE33,536,4,46.95111,7.44083,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Zurich,27
Birmingham_BAQS,AE33,143,3,52.46,-1.93,AE33,eBC,2019-03-19 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/London,28
Bucharest_INO,AE33,93,15,44.348,26.029,AE33,eBC,2019-01-01 00:00:00,2019-09-09 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Bucharest,29
Granada_UGR,AE33,680,15,37.18,3.58,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Etc/GMT,30
Helsinki_Pirkkola (DH6),AE33,27,4,60.234215,24.922323,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Helsinki,31
Lille_ATOLL,AE33,70,20,50.611,3.1403,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Paris,32
Madrid_CIEMAT,AE33,669,4,40.456436,-3.725631,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Madrid,33
Marseille_Longchamp,AE33,73,3,43.31,5.4,AE33,eBC,2019-01-01 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Paris,34
Milan_Marche,AE33,129,2.5,45.464664,9.18854,AE33,eBC,2019-05-23 00:00:00,2019-12-31 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Rome,35
Milan_Pascal,AE33,118,2.5,45.47889,9.23528,AE33,eBC,2019-01-02 00:00:00,2019-04-11 00:00:00,https://doi.org/10.1016/j.envint.2024.108553,Europe/Rome,36
